Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
231,393.207ASTCB,Vehicle,"Suspension - Suspension connecting rod or tracking component assembly (including spring leaves used as a suspension connecting rod) or any part used for attaching the same to the vehicle frame or axle is cracked, loose, broken or missing.",1416,1828,0.07%,1746,0.35%
232,393.100CC,Vehicle,Cargo - Cargo not secured against shifting.,1789,1820,0.07%,191,0.04%
233,396.3A1OAL,Vehicle,Other - Any air leak not attributed to the brake or suspension system. ,1731,1813,0.07%,9,0%
234,392.16BDPASS,Driver,Driver - Failed to require passenger(s) to use seat belt while operating a property-carrying CMV,1748,1804,0.07%,0,0%
235,383.95ALCDL,Driver,Restriction - (CDL) - Operate a CMV in violation of airbrake restriction.,1795,1798,0.07%,1754,0.36%
236,393.75GLOAD,Vehicle,Weight carried exceeds tire load limit,1083,1787,0.06%,1181,0.24%
237,396.3A1BL,Vehicle,Brake system pressure loss,1782,1786,0.06%,1751,0.36%
238,391.15ALNCDLNSRW,Driver,"Operating a non-CDL required commercial motor vehicle with driving privileges revoked, suspended, cancelled or otherwise disqualified. (391.15(a)) ",1766,1769,0.06%,1465,0.3%
239,393.11BCSRIGRR,Vehicle,"Conspicuity Systems - Trailers, rear impact guard retro reflective sheeting inadequate on vehicle manufactured on or after December 1, 1993.",1761,1766,0.06%,0,0%
240,393.201CFR,Vehicle,"Frame - Bent, cut or notched other than by vehicle manufacturer.",1729,1756,0.06%,3,0%
241,393.47ABCLMBD,Vehicle,Drum Brake - Cracked/loose/missing lining/pad.,1472,1755,0.06%,69,0.01%
242,393.47ABCFSBD,Vehicle,Drum Brake - Contaminated friction surface.,1592,1754,0.06%,108,0.02%
243,393.67C7VF,Vehicle,Fuel - Missing/improper filler cap.,1729,1738,0.06%,29,0.01%
244,393.48ABLMACBD,Vehicle,Drum Brake - Loose chamber/spider/camshaft support bracket.,1476,1678,0.06%,84,0.02%
245,395.22G,Driver,Portable ELD not mounted in a fixed position and visible to driver ,1668,1668,0.06%,8,0%
246,393.207FSLAS,Vehicle,Suspension - Leaking 3 PSI in 5 minutes.,1596,1667,0.06%,14,0%
247,393.47D2BLTBD,Vehicle,Drum Brake - Inadequate lining/pad thickness.,1262,1656,0.06%,114,0.02%
248,393.45B2,Vehicle,Brake hose or tubing chafing and/or kinking,1266,1651,0.06%,298,0.06%
249,393.11BCSURR,Vehicle,"Conspicuity Systems - Trailers, upper rear retro reflective sheeting inadequate on vehicle manufactured on or after December 1, 1993.",1623,1650,0.06%,0,0%
250,392.2IN,Other,State Insurance Violation,1634,1643,0.06%,2,0%
251,393.11A1LTSM,Vehicle,Lighting - Turn signal - Any missing on the rearmost vehicle. ,1553,1642,0.06%,1577,0.32%
252,177.834AHMC,HazMat,"HM (Cargo) - Operating a motor vehicle with HM not blocked/braced/secured as required. NOTE: Any shifting likely to adversely affect HM/DG package integrity, under conditions normally incident to transportation.",1591,1639,0.06%,1627,0.33%
253,392.2LV,Driver,Lane Restriction violation,1621,1631,0.06%,0,0%
254,393.11A1LHLM,Vehicle,Lighting - Headlamp(s) - Any missing.,1589,1614,0.06%,3,0%
255,393.207ASTBW,Vehicle,Suspension - Suspension connecting rod or tracking component assembly missing the rubber bushing or the rubber bushing is worn to the extent that the component can be moved by hand along the axis of the component.,1310,1607,0.06%,1433,0.29%
256,393.11BCSLRR,Vehicle,"Conspicuity Systems - Trailers, lower rear retro reflective sheeting inadequate on vehicle manufactured on or after December 1, 1993.",1595,1602,0.06%,0,0%
257,393.55D1,Vehicle,CMV not equipped with ABS malfunction circuit or signal (Truck-Tractor mfg on/after 3/1/1997; Straight Truck mfg on/after 3/1/1998),1585,1587,0.06%,0,0%
258,391.11B2,Driver,Driver cannot read or speak the English language sufficiently to respond to official inquiries.,1562,1566,0.06%,53,0.01%
259,393.11A1LFTSM,Vehicle,Lighting - Front - Turn signal - missing. ,1497,1563,0.06%,8,0%
260,391.41A1NPH,Driver,Operating a property-carrying vehicle without possessing a valid medical certificate - no previous history.,1553,1559,0.06%,315,0.06%
261,392.8,Vehicle,Failing to inspect/use emergency equipment,1543,1546,0.06%,0,0%
262,393.11UR,Vehicle,Upper Rear retroreflective sheeting or reflex reflecting material requirements for vehicles manufactured after December 1993,1528,1535,0.06%,0,0%
263,391.11B4,Driver,Medical (Certificate) - Operating a CDL (passenger or property carrying) vehicle that is non-excepted and the driver has self-certified as excepted interstate or excepted intrastate with the state driver's licensing agency. ,1512,1518,0.05%,1430,0.29%
264,392.2SLLTR,Other,State/Local Laws - Truck restriction.,1512,1517,0.05%,0,0%
265,395.22H4,Driver,Driver failed to maintain supply of blank drivers records of duty status graph-grids,1475,1477,0.05%,5,0%
266,393.209DSTPAL,Vehicle,Steering - Pitman arm loose on the output shaft.,1473,1474,0.05%,1465,0.3%
267,393.51,Vehicle,No or defective brake warning device or pressure gauge,1451,1463,0.05%,1060,0.22%
268,393.75A3TFL,Vehicle,"Tires - Front, leaking or inflation less than 50% of the maximum inflation pressure.",1362,1459,0.05%,1440,0.29%
269,390.21TELCMVINFO,Other,Leased CMV - Failing to have the required information on the rental agreement when the lease is not more than 30 days.,1446,1457,0.05%,0,0%
270,387.301A,Other,Carrier -Motor carrier shall not engage in interstate or foreign commerce without proof of public liability and property damage insurance as required in 49 CFR 38,1446,1449,0.05%,2,0%
271,392.4ADOSP,Driver,Drugs/Other Substances - Operate a CMV while in possession. ,1381,1445,0.05%,1389,0.28%
272,390.19A2,Other,HMSP Motor Carrier failed to file required biennial update of MCS-150B as required.,1441,1441,0.05%,1,0%
273,392.9A2,Vehicle,Failing to secure vehicle equipment,1374,1419,0.05%,1361,0.28%
274,393.203ACBP,Vehicle,Cab and Body Parts - Door missing/broken.,1354,1404,0.05%,3,0%
275,395.8F1HOSM,Driver,HOS (Manner) - Driver's record of duty status not current to the time shown for last change of duty status. Date and Time: ,1388,1404,0.05%,14,0%
276,393.75A3ATIS,Vehicle,Tire connected to an operable atis has a noticeable leak (e.g. can be heard or felt) specific to the tread area and atis is able to maintain inflation pressure gr,1353,1396,0.05%,288,0.06%
277,393.81,Vehicle,Horn inoperative,1394,1394,0.05%,0,0%
278,395.3AII,Driver,"Driving beyond 8 hour driving limit since the end of the last on duty, off duty or sleeper berth period of at least 30 consecutive mniutes",1211,1387,0.05%,3,0%
279,393.60E,Vehicle,Windshield - Obstructed.,1379,1384,0.05%,1,0%
280,393.30,Vehicle,Improper battery installation,1356,1359,0.05%,0,0%
281,395.3A2PROP,Driver,Driving beyond 14 hour duty period (Property carrying vehicle),1115,1340,0.05%,363,0.07%
282,393.100A,Vehicle,No or improper load securement,1287,1338,0.05%,1197,0.24%
283,391.11B5LNCDLNVE,Driver,License (Non-CDL) - Endorsement - Operate a CMV without proper endorsement or in violation of restriction. NOTE: Other than a 391.41 violation. ,1335,1335,0.05%,1326,0.27%
284,395.22H3ELDMF,Driver,HOS (ELD) - In-Vehicle Information - Failing to have an instruction sheet for the driver describing ELD malfunction reporting requirements and recordkeeping procedures during ELD malfunctions.,1329,1334,0.05%,0,0%
285,393.201A,Vehicle,Frame cracked / loose / sagging / broken,1174,1331,0.05%,698,0.14%
286,396.3A1TAOCV,Vehicle,"Tires - All others, in contact with a part of the vehicle.",1152,1329,0.05%,1310,0.27%
287,393.40AB,Vehicle,Brake - Inadequate braking system.,1041,1312,0.05%,46,0.01%
288,392.2SLSNC,Vehicle,State/Local Laws - CMV snow chains required.,1309,1312,0.05%,0,0%
289,395.20BELDNV,Driver,HOS (ELD) - The ELD display screen is not viewable by an authorized offical without entering the CMV.,995,1309,0.05%,3,0%
290,392.9AA2OA,Other,Operating Authority - Motor carrier operating a motor vehicle beyond the scope of the motor carriers operating authority.,1304,1306,0.05%,1263,0.26%
291,393.209D,Vehicle,"Steering system components worn, welded, or missing",1266,1291,0.05%,1197,0.24%
292,393.95KEE,Vehicle,"Emergency Equipment - Stopped vehicle warning devices, inadequate flag size.",1272,1272,0.05%,0,0%
293,395.8D11HOSF,Driver,HOS (Form) - Record of duty status form failed to include shipping document number(s) or name of shipper and commodity for each 24 hour period. Date:,1072,1264,0.05%,0,0%
294,393.75A1TAORETA,Vehicle,"Tires - All others, radial ply has more than one ply exposed in the tread area or damaged cord in the sidewall.",1120,1256,0.05%,1140,0.23%
295,395.3A3HOSPRNP,Driver,Driving beyond 11 hour driving limit in a 14-hour period.  (Property carrying vehicle) - Nominal Violation,1081,1253,0.05%,1,0%
296,396.5BHLOW,Vehicle,HUBS - Oil And/Or Grease Leaking From HUB - Outer Wheel,1116,1251,0.05%,315,0.06%
297,393.11A1LBL,Vehicle,Lighting - Backup lamp missing.,1249,1251,0.05%,0,0%
298,393.51CBLPW,Vehicle,Air Brake - Low pressure warning device missing/inoperative.,1239,1239,0.04%,1211,0.25%
299,392.9ADFSL,Vehicle,Driver - Failing to properly secure load.,1225,1235,0.04%,107,0.02%
300,396.9D2,Vehicle,Failure to correct defects noted on previous inspection report,936,1229,0.04%,2,0%
301,390.3E3MC,Other,Carrier - Motor carrier failed to maintain required equipment and accessories in accordance with this subchapter.,1075,1225,0.04%,19,0%
302,393.43ATPV,Vehicle,Air Brake - Inoperable or missing tractor protection valve,1213,1218,0.04%,1056,0.21%
303,390.21B,Other,Carrier name and/or USDOT Number not displayed as required,1178,1190,0.04%,1,0%
304,396.3A1ALATR,Vehicle,Air Brake - Any leak from an air tank reservoir. ,1087,1167,0.04%,9,0%
305,393.110B2IC,Vehicle,"Cargo - Insufficient tiedowns (w/o headerboard/blocking) for article(s) of cargo 5 feet or less and more than 1,100 lbs.",1092,1154,0.04%,1151,0.23%
306,391.45AMCEM,Driver,Medical (Certificate) - Operating a CMV with an expired medical certificate.,1147,1147,0.04%,173,0.04%
307,383.71H,Driver,Failing to submit medical certification documentation as required.,1137,1138,0.04%,6,0%
308,393.110B,Vehicle,"Insufficient tiedowns to prevent forward movement for load not blocked by headerboard, bulkhead, or other cargo.",1110,1138,0.04%,1098,0.22%
309,393.75BTF,Vehicle,"Tires - Front, less than 2/32 inch tread depth.",1008,1127,0.04%,967,0.2%
310,392.82A1,Driver,Using a hand-held mobile telephone while operating a CMV,1124,1126,0.04%,1,0%
311,393.95A3,Vehicle,Emergency Equipment - Fire Extinguishers - no visual indicator.,1122,1122,0.04%,1,0%
312,392.9BANOREG,Other,Operating a commercial motor vehicle with no USDOT number when required.,1122,1122,0.04%,37,0.01%
313,393.130BCHVE,Vehicle,Heavy Vehicles/Equipment - Improper securement of accessory equipment or articulated vehicles.,1088,1116,0.04%,1110,0.23%
314,395.8K2,Driver,Driver failing to retain previous 7 days records of duty status,1100,1101,0.04%,983,0.2%
315,395.34A1ELDDFN,Driver,HOS (ELD) - Driver failed to note the malfunction of the ELD and provide written notice of the malfunction to the motor carrier within 24 hours.,1083,1094,0.04%,1,0%
316,393.75B,Vehicle,Tire-front tread depth less than 4/32 of inch on a major tread groove,994,1090,0.04%,190,0.04%
317,393.11BCSSRR,Vehicle,"Conspicuity Systems - Trailers, side retro reflective sheeting inadequate on vehicle manufactured on or after December 1, 1993.",1036,1084,0.04%,0,0%
318,393.80A,Vehicle,Rear-Vision Mirrors - Missing or defective.,1070,1084,0.04%,2,0%
319,391.45B,Driver,Expired medical examiner's certificate,1067,1067,0.04%,183,0.04%
320,393.104B,Vehicle,Damaged securement system/tiedowns,939,1062,0.04%,250,0.05%
321,395.3A3PROP,Driver,Driving beyond 11 hour driving limit. (Property Carrying Vehicle),852,1052,0.04%,306,0.06%
322,383.91ALCDL,Driver,License (CDL) - Operate a CMV without proper CDL class.,1050,1050,0.04%,1034,0.21%
323,393.207ASUBL,Vehicle,Suspension - U-bolt or other axle clamp bolt loose/cracked/broken/missing.,937,1045,0.04%,986,0.2%
324,393.11A1LSLM,Vehicle,Lighting - Stop lamps -  Any missing. ,1027,1041,0.04%,56,0.01%
325,393.11S,Vehicle,Side retroreflective sheeting or reflex reflector requirements for vehicles manufactured after December 1993,988,1024,0.04%,1,0%
326,393.75A1TFBMF,Vehicle,"Tires - Front, belt material/casing ply showing in tread area.",973,1021,0.04%,981,0.2%
327,395.3A2HOSPRNP,Driver,Driving beyond 14 hour duty period.  (Property carrying vehicle) - Nominal Violation,892,1014,0.04%,3,0%
328,395.8E1PCOOS,Driver,HOS - False record of duty status driver improperly used Personal Conveyance,803,1010,0.04%,574,0.12%
329,385.337BOOSO,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: New Entrant - Refusal of Audit/No Contact.,1004,1005,0.04%,939,0.19%
330,393.45B2B,Vehicle,Air brake - Hose/tubing damaged or not secured,864,996,0.04%,146,0.03%
331,393.45D,Vehicle,Brake connections with leaks or constrictions,919,977,0.04%,204,0.04%
332,395.8EHOSPCDOOS,Driver,HOS (Property) - Co-driver produces a false record of duty status with an apparent attempt to conceal hours. Explain:,677,973,0.04%,209,0.04%
333,393.45PC,Vehicle,Brake Tubing and Hose Adequacy - Connections to Power Unit,918,966,0.03%,330,0.07%
334,396.5BHLIW,Vehicle,HUBS - Oil And/Or Grease Leaking From HUB - Inner Wheel,842,960,0.03%,289,0.06%
335,383.51ALCDLRSWD,Driver,License (CDL) - A person required to have a CLP or CDL who is disqualified must not drive a CMV.,955,955,0.03%,729,0.15%
336,393.25EL,Vehicle,"Lighting - Lamps (other than headlamps), not steady burning as required.",932,954,0.03%,10,0%
337,393.205AWRBH,Vehicle,Wheel/Rim - Cracks between two holes.,901,946,0.03%,923,0.19%
338,393.55D2,Vehicle,CMV manufactured on/after 3/1/2001 not equipped with ABS malfunction circuit / lamp from towed vehicle in cab.,942,945,0.03%,0,0%
339,392.2LC,Driver,Improper lane change,931,935,0.03%,2,0%
340,393.55BB,Vehicle,"Hydraulic Brake - ABS malfunction lamp defective on truck/bus manufactured on or after March 1, 1999.",933,934,0.03%,0,0%
341,393.75GTFWETL,Vehicle,"Tires - Front, weight carried exceeds tire load limit.",704,934,0.03%,920,0.19%
342,395.8D5HOSF,Driver,HOS (Form) - Record of duty status form failed to include driver signature/certification for each 24 hour period. Date: ,737,933,0.03%,0,0%
343,393.48ABISA,Vehicle,Brake - Inoperative on a steering axle.,781,931,0.03%,909,0.18%
344,393.203E,Vehicle,Cab front bumper missing/unsecured/protrude,918,918,0.03%,3,0%
345,395.8K2HOSRC,Driver,HOS (Manner) - Driver failed to retain a copy of each record of duty status for the previous 7 consecutive days which shall be in his/her possession and available for inspection while on duty.,908,916,0.03%,564,0.11%
346,393.207F,Vehicle,Air suspension pressure loss,818,914,0.03%,332,0.07%
347,393.53BMAN,Vehicle,Air Brake - CMV manufactured on or after 10/20/1994 is not equipped with automatic air brake adjusters.,879,912,0.03%,0,0%
348,391.41AMCPVI,Driver,Medical (Certificate) - Operating a passenger-carrying vehicle without a valid medical certificate in possession or on file with the state driverÃ¢â‚¬â„¢s licensing agency when medical certification is required. ,906,910,0.03%,849,0.17%
349,393.207BAALPMEOOS,Vehicle,More than 25% of the locking pins are missing or not engaged. ,896,905,0.03%,892,0.18%
350,393.11A1LTNRV,Vehicle,Lighting - Turn signal - Any missing not on the rearmost vehicle.,856,899,0.03%,115,0.02%
351,396.3A1TC,Vehicle,Tire in contact with another part of the vehicle,822,899,0.03%,786,0.16%
352,393.55AB,Vehicle,"Hydraulic Brake - ABS defective on truck/bus manufactured on or after March 1, 1999.",896,896,0.03%,0,0%
353,393.11A1LSLMWR,Vehicle,Lighting - Stop lamps - Both missing when required to be on. ,888,896,0.03%,874,0.18%
354,390.19TA,Other,"Motor Carrier or Intermodal Equipment Provider must file Form MCS-150, Form MCS-150B or Form MCS-150C with FMCSA before beginning operations",880,882,0.03%,0,0%
355,391.41AF,Driver,Operating a property-carrying vehicle without possessing a valid medical certificate.,872,876,0.03%,429,0.09%
356,392.9A,Vehicle,Failing to secure load,835,870,0.03%,769,0.16%
357,393.201AFRMC,Vehicle,Frame - Cracked/loose/broken frame member affecting support of functional components.,761,862,0.03%,707,0.14%
358,396.3A1BARS,Vehicle,Air Brake - Air reservoir separated from its original attachment points or moving more than 1 inch,840,858,0.03%,563,0.11%
359,392.2AU,Other,State Operating Authority violation,804,843,0.03%,13,0%
360,393.45UV,Vehicle,Brake Tubing and Hose Adequacy Under Vehicle,778,841,0.03%,379,0.08%
361,383.23A2LCDLNP,Driver,License (CDL) - Operate a CMV while not in possession of a CDL on person.,841,841,0.03%,5,0%
362,393.9ALPL,Vehicle,Lighting - Parking lamp(s) inoperative.,807,824,0.03%,2,0%
363,393.28WS6,Vehicle,"Wiring Systems - Bare, loose, dangling, chafing or poorly connected wires.",790,815,0.03%,1,0%
364,393.75A4PBME,Vehicle,Tires - Has a cut to the extent that the ply or belt material is exposed. ,743,807,0.03%,33,0.01%
365,393.130,Vehicle,No/improper heavy vehicle/machine securement,792,806,0.03%,776,0.16%
366,392.2SLIMPT,Driver,State/Local Laws - General impeding traffic. ,800,802,0.03%,4,0%
367,393.11A1LRLM,Vehicle,Lighting - Tail lamp - Any missing.,773,796,0.03%,4,0%
